year,item,expenditure_bracket,value,category,bracket_order
2013,Padi-padian,Kurang dari 100 000,29722.0,Food,1
2013,Padi-padian,100 000- 149 999,43372.0,Food,2
2013,Padi-padian,150 000- 199 999,47289.0,Food,3
2013,Padi-padian,200 000- 299 999,52588.0,Food,4
2013,Padi-padian,300 000- 499 999,59869.0,Food,5
2013,Padi-padian,500 000- 749 999,70880.0,Food,6
2013,Padi-padian,750 000- 999 999,77894.0,Food,7
2013,Padi-padian,1 000 000 dan lebih,77337.0,Food,8
2013,Umbi-umbian,Kurang dari 100 000,3302.0,Food,1
2013,Umbi-umbian,100 000- 149 999,3226.0,Food,2
2013,Umbi-umbian,150 000- 199 999,3596.0,Food,3
2013,Umbi-umbian,200 000- 299 999,3010.0,Food,4
2013,Umbi-umbian,300 000- 499 999,3598.0,Food,5
2013,Umbi-umbian,500 000- 749 999,4111.0,Food,6
2013,Umbi-umbian,750 000- 999 999,5157.0,Food,7
2013,Umbi-umbian,1 000 000 dan lebih,6505.0,Food,8
2013,Ikan,Kurang dari 100 000,5300.0,Food,1
2013,Ikan,100 000- 149 999,7975.0,Food,2
2013,Ikan,150 000- 199 999,9183.0,Food,3
2013,Ikan,200 000- 299 999,13818.0,Food,4
2013,Ikan,300 000- 499 999,21724.0,Food,5
2013,Ikan,500 000- 749 999,33282.0,Food,6
2013,Ikan,750 000- 999 999,46920.0,Food,7
2013,Ikan,1 000 000 dan lebih,58329.0,Food,8
2013,Daging,100 000- 149 999,169.0,Food,2
2013,Daging,150 000- 199 999,1096.0,Food,3
2013,Daging,200 000- 299 999,2354.0,Food,4
2013,Daging,300 000- 499 999,5599.0,Food,5
2013,Daging,500 000- 749 999,11667.0,Food,6
2013,Daging,750 000- 999 999,19919.0,Food,7
2013,Daging,1 000 000 dan lebih,29372.0,Food,8
2013,Telur dan susu,Kurang dari 100 000,263.0,Food,1
2013,Telur dan susu,100 000- 149 999,1451.0,Food,2
2013,Telur dan susu,150 000- 199 999,3159.0,Food,3
2013,Telur dan susu,200 000- 299 999,5834.0,Food,4
2013,Telur dan susu,300 000- 499 999,10517.0,Food,5
2013,Telur dan susu,500 000- 749 999,18207.0,Food,6
